,datadate,tic,adjcp,open,high,low,volume,macd,rsi,cci,adx,turbulence
2077,20160801,FPT,41100.0,40800.0,41000.0,41300.0,419730,-368.7676776041408,40.59043678661345,-104.26382411725307,31.15375808594762,0.0
2078,20160801,GAS,60000.0,58500.0,60000.0,60500.0,157810,-668.5898516732923,50.93874600486012,-83.16733067729137,3.8766926713760883,0.0
2079,20160801,HPG,44100.0,43500.0,44600.0,44600.0,4652710,1334.8575432380167,65.01586315719702,163.79310344827658,41.248569980933866,0.0
2080,20160801,KDH,23300.0,23200.0,23200.0,23700.0,139950,33.53824371468727,55.07072035650821,250.97024579560306,18.1724719902072,0.0
2081,20160801,MBB,15000.0,15000.0,15100.0,15100.0,361240,-28.441236244208994,47.84913032649504,-54.66666666666135,3.624965286534411,0.0
2082,20160801,MSN,64000.0,63500.0,65000.0,65000.0,242060,-826.158924199568,36.84683497366827,-222.22222222222973,41.04822359273841,0.0
2083,20160801,MWG,130000.0,130000.0,134000.0,135000.0,202820,4789.525328432472,62.37671007357927,40.29304029304002,42.4272720629584,0.0
2084,20160801,PDR,12800.0,12700.0,12800.0,12800.0,788260,-360.94474554285625,40.13922328435969,-70.29333333333336,9.206879265347963,0.0
2085,20160801,PNJ,63000.0,62000.0,64000.0,64000.0,102860,-2084.200370839695,44.87064808719706,-149.5495495495496,18.58079482173646,0.0
2086,20160801,SSI,22800.0,22500.0,23000.0,23000.0,791160,295.8163599015643,54.47370949181696,33.95169758487863,0.7909343335275411,0.0
2087,20160801,STB,11200.0,11100.0,11300.0,11300.0,406670,-53.61461251741639,49.03651986790452,-50.47748976807514,9.016163905024236,0.0
2088,20160801,VCB,53000.0,53000.0,54000.0,54000.0,365040,1244.3867341415098,56.14196651902916,41.15952801263638,26.610372358296935,0.0
2089,20160801,VIC,51500.0,50500.0,51500.0,52000.0,460650,-193.9482140060354,49.98355016199686,-3.266869437873934,7.588996124880216,0.0
2090,20160801,VNM,155000.0,154000.0,159000.0,159000.0,1706560,4152.608509687154,60.78355626682331,100.17574692442909,38.85011334304799,0.0
2091,20160802,BID,17100.0,17000.0,17500.0,17500.0,1169700,-137.9532022757885,43.26304505885976,-123.60195010037326,13.210158533418245,0.0
2092,20160802,BVH,58500.0,58000.0,59000.0,59500.0,326130,-529.5205717453355,47.61511662819521,-85.58558558558653,14.520856087271664,0.0
2093,20160802,CTG,17200.0,17100.0,17700.0,17700.0,1344970,48.636517531675054,47.62330817096473,-13.47409362411213,2.2246439279315187,0.0
2094,20160802,FPT,40600.0,40500.0,41100.0,41100.0,806630,-411.0556561954363,38.5486788457162,-115.27093596058968,33.80926686928493,0.0
2095,20160802,GAS,59500.0,58000.0,58000.0,59500.0,505680,-737.9365884701692,50.17146864966512,-111.555697823304,2.0518069918562234,0.0
2096,20160802,HPG,42700.0,42700.0,43600.0,43800.0,6370060,1243.3044418107092,60.38906481888491,101.66183359357605,30.860766806969863,0.0
2097,20160802,KDH,23100.0,23000.0,23300.0,23300.0,69970,39.44623056241835,52.401079956949786,137.76722090261293,8.383426036456118,0.0
2098,20160802,MBB,14900.0,14900.0,15000.0,15100.0,235060,-43.81211879667717,46.19865912173762,-87.70806658129996,3.6249652865344095,0.0
2099,20160802,MSN,61500.0,61500.0,63500.0,63500.0,548690,-1128.1918089108876,31.716002125351736,-334.7826086956572,50.09054520476973,0.0
2100,20160802,MWG,124000.0,124000.0,129000.0,129000.0,160680,3788.9337680319295,57.22604770098391,-18.93171061528094,20.24841920542033,0.0
2101,20160802,PDR,12700.0,12500.0,12700.0,12700.0,1103490,-351.71618344234594,39.341587667599036,-75.20769567118504,12.899974188754337,0.0
2102,20160802,PNJ,64000.0,62000.0,62500.0,64500.0,81640,-2198.9613676274166,46.192314155681444,-136.2174332582823,18.580794821736465,0.0
2103,20160802,SSI,22100.0,21900.0,22500.0,22500.0,3504930,212.08928286985974,50.212949166884016,-4.793510324484042,9.432366165172978,0.0
2104,20160802,STB,11100.0,10900.0,11100.0,11200.0,821380,-63.65654893107239,47.880983288069125,-99.10313901345076,3.8045443543339634,0.0
2105,20160802,VCB,51500.0,51000.0,53000.0,53000.0,634560,976.3988929915795,52.920036887087804,13.595645488052448,17.57644568566272,0.0
2106,20160802,VIC,51000.0,50500.0,50500.0,52000.0,1349020,-211.24046064301365,48.99358326115918,-25.059952038370135,7.588996124880209,0.0
2107,20160802,VNM,152000.0,152000.0,154000.0,155000.0,1681750,3623.2810355316906,56.87588477748099,53.04634203716787,20.515195274290846,0.0
2108,20160803,BID,17100.0,16800.0,17200.0,17200.0,1317460,-170.61892307152448,43.26304505885976,-158.99241603466987,21.38284469330325,0.0
2109,20160803,BVH,57000.0,57000.0,58000.0,58500.0,240570,-711.3936342054221,44.87845934737457,-127.98471824259852,20.675117778580766,0.0
2110,20160803,CTG,17100.0,17000.0,17100.0,17300.0,449320,-4.2201503785690875,46.871921307462024,-59.807611877872866,7.332582877338992,0.0
2111,20160803,FPT,40500.0,40400.0,40600.0,40800.0,467420,-447.47951096858014,38.15162733898493,-132.49475890985127,37.66456069804298,0.0
2112,20160803,GAS,59000.0,58000.0,58500.0,59500.0,340370,-823.7419967722672,49.401684182926,-106.36645962732977,0.9690578650700243,0.0
2113,20160803,HPG,43200.0,42400.0,42600.0,43200.0,3050500,1197.289588978536,61.40384165050132,77.5237032905752,23.574683720805766,0.0
2114,20160803,KDH,23000.0,22900.0,23100.0,23100.0,53380,35.64874099387089,51.11930952559447,44.98269896194214,18.207504671355295,0.0
2115,20160803,MBB,14900.0,14800.0,15000.0,15000.0,116370,-55.35553494278429,46.19865912173762,-99.26470588234784,4.8413686674749465,0.0
2116,20160803,MSN,61500.0,60500.0,61000.0,62000.0,236360,-1351.9700537425306,31.716002125351736,-345.5328310010789,57.12111095241534,0.0
2117,20160803,MWG,124000.0,122000.0,122000.0,125000.0,175840,2961.815975406833,57.22604770098391,-67.22689075630277,8.237005417729163,0.0
2118,20160803,PDR,12700.0,12500.0,12700.0,12700.0,927870,-340.47763242833935,39.341587667599036,-71.11560498820378,12.89997418875435,0.0
2119,20160803,PNJ,63500.0,62500.0,64000.0,64000.0,30010,-2303.697697930402,45.62653157735977,-121.94016319129646,11.47776903730573,0.0
2120,20160803,SSI,22200.0,21900.0,21900.0,22300.0,1425500,152.05091843147238,50.78186824290678,-24.19730107026583,12.684362628439624,0.0
2121,20160803,STB,11000.0,10800.0,11000.0,11100.0,416390,-78.77543482040346,46.74154610378936,-132.26094727435014,1.242261972770763,0.0
2122,20160803,VCB,50500.0,49500.0,51000.0,51500.0,324230,675.5427506809283,50.905277279960416,-23.488898026315095,5.5055989081805725,0.0
2123,20160803,VIC,49300.0,49000.0,50000.0,50500.0,1214100,-357.9853597948313,45.80286544472329,-86.14209505334678,6.629318700092214,0.0
2124,20160803,VNM,154000.0,152000.0,153000.0,155000.0,660790,3326.809069853596,58.70669602338632,51.95577220306751,20.51519527429085,0.0
2125,20160804,BID,16900.0,16900.0,17100.0,17200.0,1128240,-210.22081730279024,41.56091556309969,-166.23975409836044,21.382844693303248,0.0
2126,20160804,BVH,57500.0,56500.0,57000.0,59000.0,339080,-805.8957794099842,45.949672490168034,-119.83471074380219,20.67511777858075,0.0
2127,20160804,CTG,17300.0,17000.0,17000.0,17500.0,610370,-29.630440149278,48.55138634250494,-48.167392220190905,7.332582877338993,0.0
2128,20160804,FPT,40400.0,40400.0,40500.0,40800.0,340270,-478.8939215164719,37.74940084831446,-126.48809523809442,37.66456069804298,0.0
2129,20160804,GAS,59500.0,59500.0,60000.0,60500.0,284210,-841.6971822725973,50.192240104027874,-76.68711656441764,9.55485834228114,0.0
2130,20160804,HPG,42600.0,42600.0,43600.0,43700.0,3081510,1099.7331240906205,59.51124111801747,86.23548922056469,30.471663358374894,0.0
2131,20160804,KDH,23100.0,23000.0,23000.0,23200.0,43600,40.24399754197657,52.32567207771131,57.046979865774674,18.207504671355302,0.0
2132,20160804,MBB,14800.0,14800.0,14900.0,14900.0,364470,-71.74542972900599,44.55403206905674,-143.35664335663876,12.484635137405041,0.0
2133,20160804,MSN,62000.0,60500.0,60500.0,62000.0,71160,-1472.0037860036318,33.692192830715925,-270.31802120141555,57.12111095241532,0.0
2134,20160804,MWG,129000.0,127000.0,129000.0,130000.0,149850,2678.8741289381287,60.15982486684727,-11.764705882353223,22.68423445029644,0.0
2135,20160804,PDR,12700.0,12500.0,12600.0,12700.0,939140,-327.79238334618276,39.341587667599036,-70.84785133565656,12.89997418875435,0.0
2136,20160804,PNJ,63000.0,63000.0,64000.0,64000.0,43900,-2399.3865692556865,45.05564177258619,-113.40501792114691,11.477769037305743,0.0
2137,20160804,SSI,22000.0,21700.0,22300.0,22500.0,1776550,87.32605334229083,49.60900371290892,-19.389438943894792,4.650712324242407,0.0
2138,20160804,STB,10500.0,10500.0,10900.0,11000.0,810520,-129.60673629512166,41.6187232134849,-208.0825451418732,6.121266171198985,0.0
2139,20160804,VCB,52000.0,50500.0,51000.0,54000.0,537660,551.7821501423241,53.64385413682919,3.955264593563142,5.505598908180579,0.0
2140,20160804,VIC,47500.0,47500.0,49500.0,49600.0,732590,-612.4582541912605,42.75311831781121,-132.17513792698736,13.92509902587464,0.0
2141,20160804,VNM,156000.0,154000.0,155000.0,158000.0,1142360,3216.1529841363663,60.443935566265665,71.40294223179093,26.091237595711487,0.0
2142,20160805,BID,16700.0,16300.0,16700.0,16800.0,1690970,-254.80579438242785,39.93552343683242,-213.42031686859335,31.246876987072447,0.0
2143,20160805,BVH,58000.0,57000.0,57000.0,58500.0,158880,-830.8678619627608,47.01487399927468,-113.33333333333375,23.809237009732765,0.0
2144,20160805,CTG,17100.0,17000.0,17000.0,17400.0,550230,-65.15467419452398,47.01395098998542,-62.074829931969745,9.743175030404396,0.0
2145,20160805,FPT,40500.0,40200.0,40400.0,40700.0,461730,-490.0720204543468,38.4210051284062,-122.20309810671135,39.01747970417638,0.0
2146,20160805,GAS,59500.0,59500.0,59500.0,60500.0,242360,-846.1725522926426,50.192240104027874,-78.86007237635744,9.55485834228115,0.0
2147,20160805,HPG,43100.0,42200.0,42500.0,43100.0,4794470,1050.6513019054037,60.55921621471119,62.1820237422282,23.33301493503447,0.0
2148,20160805,KDH,23100.0,23000.0,23100.0,23100.0,41960,43.38564227912502,52.32567207771131,51.39664804469665,18.207504671355306,0.0
2149,20160805,MBB,14800.0,14700.0,14700.0,14800.0,166710,-83.76888775782572,44.55403206905674,-174.14529914529558,19.40461284859577,0.0
2150,20160805,MSN,61500.0,59000.0,61500.0,61500.0,835920,-1589.1560592385722,32.71281320994423,-220.21116138763472,41.89431345225515,0.0
2151,20160805,MWG,132000.0,129000.0,129000.0,133000.0,156700,2665.971046197883,61.786637386234936,9.05447528573534,22.684234450296437,0.0
2152,20160805,PDR,12600.0,12400.0,12600.0,12700.0,1105870,-322.0950332311804,38.494737253923354,-71.12667552228022,12.899974188754342,0.0
2153,20160805,PNJ,62500.0,62000.0,62500.0,63000.0,35850,-2486.896690836649,44.47990765654054,-115.6045751633986,15.34089475095998,0.0
2154,20160805,SSI,21500.0,21200.0,21700.0,21800.0,2224200,-4.263385420996201,46.8128106091846,-68.9358776001379,15.87083474163251,0.0
2155,20160805,STB,11000.0,10500.0,10600.0,11000.0,2051050,-128.07085796063075,47.56384017302009,-166.19028174765097,6.121266171198981,0.0
2156,20160805,VCB,51000.0,50500.0,52500.0,52500.0,327970,368.762749549358,51.65662411098954,-8.404832778847071,5.505598908180566,0.0
2157,20160805,VIC,44700.0,44500.0,46500.0,47300.0,1844020,-1028.2018452445482,38.615575707226675,-237.84814148046243,29.0663727931813,0.0
2158,20160805,VNM,158000.0,155000.0,156000.0,158000.0,839620,3252.3407769087644,62.0936737482581,76.34694370620987,28.762308919724365,0.0
