Date,Open,High,Low,Close,Adj Close,Volume
2021-04-20,1308.03,1331.56,1303.68,1312.68,1312.68,244920000
2021-04-22,1312.33,1317.5,1271.53,1271.53,1271.53,232540000
2021-04-23,1271.52,1301.39,1262.89,1301.39,1301.39,245630000
2021-04-26,1301.39,1305.73,1269.78,1275.04,1275.04,216950000
2021-04-27,1274.32,1283.95,1264.57,1283.81,1283.81,171780000
2021-04-28,1283.81,1296.48,1280.54,1294.06,1294.06,206900000
2021-04-29,1294.79,1312.62,1294.79,1312.28,1312.28,242340000
2021-5-4,1312.08,1329.18,1285.9,1328.03,1328.03,274200000
2021-5-5,1328.47,1360.76,1328.47,1346.89,1346.89,274660000
2021-5-6,1346.93,1352.57,1337.28,1344.64,1344.64,226860000
2021-5-7,1344.09,1347.8,1329.51,1340.73,1340.73,291440000
2021-5-10,1339.75,1371.51,1335.39,1370.66,1370.66,302730000
2021-5-11,1370.71,1382.06,1359.19,1359.19,1359.19,262050000
2021-5-12,1358.59,1380.23,1350.8,1380.17,1380.17,264230000
2021-05-13,1379.19,1385.72,1370.18,1370.18,1370.18,271900000
2021-05-14,1370.14,1386.09,1370.14,1380.02,1380.02,251130000
2021-05-17,1381.13,1391.89,1371.22,1371.36,1371.36,254610000
2021-05-18,1371.75,1381.36,1367.85,1378.59,1378.59,252830000
2021-05-19,1378.97,1402.45,1378.43,1401.71,1401.71,279670000
2021-05-20,1402.31,1424.92,1396.23,1424.92,1424.92,270200000
2021-05-21,1424.77,1433.01,1412.78,1425.04,1425.04,267790000
2021-05-24,1425.11,1433.59,1421.17,1430.48,1430.48,256210000
2021-05-25,1428.42,1445.6,1427.56,1444.01,1444.01,209780000
2021-05-26,1443.93,1456.55,1440.6,1455.11,1455.11,233970000
2021-05-27,1455.48,1457.46,1433.76,1437.38,1437.38,264790000
2021-05-28,1437.74,1460.68,1433.55,1458.78,1458.78,300180000
2021-05-31,1459.04,1475.09,1449.66,1474.78,1474.78,293020000
2021-6-1,1473.28,1496.55,1473.28,1482.92,1482.92,255910000
2021-6-2,1482.92,1488.93,1469.49,1478.85,1478.85,277180000
2021-6-3,1479.75,1506.27,1479.75,1504.37,1504.37,318350000
2021-6-4,1504.18,1509.38,1496.36,1508.35,1508.35,336490000
2021-6-7,1508.08,1508.65,1472.1,1484.1,1484.1,309810000
2021-6-8,1481.88,1493.36,1436.72,1438.97,1438.97,328470000
2021-6-9,1438.47,1465.93,1426.04,1457.76,1457.76,279950000
2021-6-10,1457.17,1464.4,1443.74,1451.18,1451.18,253440000
2021-6-11,1451.43,1489.95,1448.46,1487.61,1487.61,264960000
2021-06-14,1488.88,1504.32,1483.82,1495.51,1495.51,249570000
2021-06-15,1495.51,1498.75,1481.03,1487.04,1487.04,239020000
2021-06-16,1486.76,1487.68,1462.99,1465.58,1465.58,241630000
2021-06-17,1463.98,1469.44,1445.39,1461.91,1461.91,211570000
2021-06-18,1461.96,1484.89,1461.96,1481.3,1481.3,198660000
2021-06-21,1481.15,1486.12,1473.11,1478.29,1478.29,205150000
2021-06-22,1481.13,1498.12,1481.13,1489.24,1489.24,211640000
2021-06-23,1489.27,1502.79,1485.13,1489.53,1489.53,197840000
2021-06-24,1489.51,1497.92,1482.38,1486.96,1486.96,175260000
